UNIQUE_ID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIP
1,1000 DEGREES NEAPOLITAN PIZZA,951 S 42ND ST,GRAND FORKS,ND,5820
2,1000 DEGREES NEAPOLITAN PIZZA,11224 HUEBNER RD,SAN ANTONIO,TX,78230
3,1000 DEGREES NEAPOLITAN PIZZA,7000 E MAYO BLVD STE 10021000,PHOENIX,AZ,85054
4,101 TECHNOLOGIES INC,2624 SOUTHERN BLVD,VIRGINIA BEACH,VA,23452
5,10 BARREL BREWING,2620 WALNUT ST,DENVER,CO,80205
6,15FIVE INC,305 CHURCH AT NORTH HILLS ST STE 1150,RALEIGH,NC,27609
7,1800FLOWERS,3310 TRUXTUN AVE,BAKERSFIELD,CA,93301
8,1800FLOWERS,646 MCCORKLE BLVD RM 1,WESTERVILLE,OH,43082
9,1-800-FLOWERS,2500 S PACIFIC HWY,MEDFORD,OR,97501
